No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
0,Donte DiVincenzo,SG,6-4,203,"January 31, 1997",us,4,Villanova
11,Klay Thompson,SF,6-6,215,"February 8, 1990",us,9,Washington State
0,Jonathan Kuminga,PF,6-8,210,"October 6, 2002",cd,1,
4,Moses Moody,SG,6-6,205,"May 31, 2002",us,1,Arkansas
40,Anthony Lamb,SF,6-6,227,"January 20, 1998",us,2,University of Vermont
1,JaMychal Green,PF,6-8,227,"June 21, 1990",us,8,Alabama
30,Stephen Curry,PG,6-2,185,"March 14, 1988",us,13,Davidson
10,Ty Jerome  (TW),SG,6-5,195,"July 8, 1997",us,3,Virginia
22,Andrew Wiggins,SF,6-7,197,"February 23, 1995",ca,8,Kansas
7,Patrick Baldwin Jr.,SF,6-9,220,"November 18, 2002",us,R,UW-Milwaukee
2,Ryan Rollins,PG,6-4,180,"July 3, 2002",us,R,Toledo
9,Andre Iguodala,PF,6-6,215,"January 28, 1984",us,18,Arizona
8,Gary Payton II,SG,6-3,190,"December 1, 1992",us,6,Oregon State
25,Lester Quinones  (TW),SG,6-5,208,"November 16, 2000",us,R,Memphis
6,Kenyon Martin Jr.,SF,6-6,215,"January 6, 2001",us,2,
17,Tari Eason,PF,6-8,216,"May 10, 2001",us,R,"Cincinnati, LSU"
1,Jabari Smith Jr.,PF,6-10,220,"May 13, 2003",us,R,Auburn
4,Jalen Green,SG,6-4,178,"February 9, 2002",us,1,
28,Alperen Şengün,C,6-9,235,"July 25, 2002",tr,1,
16,Usman Garuba,C,6-8,220,"March 9, 2002",es,1,
9,Josh Christopher,SG,6-5,215,"December 8, 2001",us,1,Arizona State
3,Kevin Porter Jr.,PG,6-4,203,"May 4, 2000",us,3,USC
15,Daishen Nix,PG,6-5,224,"February 13, 2002",us,1,
8,Jae'Sean Tate,SF,6-4,230,"October 28, 1995",us,2,Ohio State
0,TyTy Washington Jr.,PG,6-3,197,"November 15, 2001",us,R,Kentucky
51,Boban Marjanović,C,7-3,290,"August 15, 1988",rs,7,
33,Frank Kaminsky,C,7-0,240,"April 4, 1993",us,7,Wisconsin
12,Trevor Hudgins  (TW),PG,6-0,180,"March 23, 1999",us,R,Northwest Missouri State University
5,Darius Days  (TW),SF,6-7,245,"October 20, 1999",us,R,LSU
NA,D.J. Augustin,PG,5-11,183,"November 10, 1987",us,14,Texas
NA,Willie Cauley-Stein,C,7-0,240,"August 18, 1993",us,7,Kentucky
24,Buddy Hield,SF,6-4,220,"December 17, 1992",bs,6,Oklahoma
0,Bennedict Mathurin,SG,6-6,210,"June 19, 2002",ca,R,Arizona
2,Andrew Nembhard,SG,6-5,193,"January 16, 2000",ca,R,"Florida, Gonzaga"
9,T.J. McConnell,PG,6-1,190,"March 25, 1992",us,7,"Duquesne, Arizona"
23,Aaron Nesmith,SF,6-5,215,"October 16, 1999",us,2,Vanderbilt
25,Jalen Smith,C,6-10,215,"March 16, 2000",us,2,Maryland
12,Oshae Brissett,PF,6-7,210,"June 20, 1998",ca,3,Syracuse
22,Isaiah Jackson,C,6-10,206,"January 10, 2002",us,1,Kentucky
33,Myles Turner,C,6-11,250,"March 24, 1996",us,7,Texas
0,Tyrese Haliburton,PG,6-5,185,"February 29, 2000",us,2,Iowa State
3,Chris Duarte,SF,6-6,190,"June 13, 1997",ca,1,Oregon
13,Jordan Nwora,SF,6-8,225,"September 9, 1998",us,2,Louisville
16,James Johnson,PF,6-7,240,"February 20, 1987",us,13,Wake Forest
7,George Hill,SG,6-4,188,"May 4, 1986",us,14,IUPUI
27,Daniel Theis,C,6-8,245,"April 4, 1992",de,5,
10,Kendall Brown  (TW),SG,6-8,205,"May 11, 2003",us,R,Baylor
32,Gabe York  (TW),SG,6-3,185,"August 2, 1993",us,1,Arizona
14,Terance Mann,SG,6-5,215,"October 18, 1996",us,3,Florida State
33,Nicolas Batum,PF,6-8,230,"December 14, 1988",fr,14,
40,Ivica Zubac,C,7-0,240,"March 18, 1997",ba,6,
8,Marcus Morris,PF,6-8,218,"September 2, 1989",us,11,Kansas
24,Norman Powell,SG,6-3,215,"May 25, 1993",us,7,UCLA
13,Paul George,SF,6-8,220,"May 2, 1990",us,12,Fresno State
2,Kawhi Leonard,SF,6-7,225,"June 29, 1991",us,10,San Diego State
7,Amir Coffey,SF,6-7,210,"June 17, 1997",us,3,Minnesota
23,Robert Covington,PF,6-7,209,"December 14, 1990",us,9,Tennessee State
44,Mason Plumlee,C,6-11,254,"March 5, 1990",us,9,Duke
10,Eric Gordon,SG,6-3,215,"December 25, 1988",us,14,Indiana
4,Brandon Boston Jr.,SF,6-7,185,"November 28, 2001",us,1,Kentucky
25,Moussa Diabaté  (TW),C,6-11,210,"January 21, 2002",fr,R,Michigan
0,Russell Westbrook,PG,6-3,200,"November 12, 1988",us,14,UCLA
5,Bones Hyland,PG,6-3,173,"September 14, 2000",us,1,VCU
"0, 1",Jason Preston,PG,6-4,187,"August 10, 1999",us,R,Ohio University
15,Xavier Moon  (TW),SG,6-2,165,"January 2, 1995",us,1,"Northwest Florida State College, Morehead State University"
7,Troy Brown Jr.,SF,6-6,215,"July 28, 1999",us,4,Oregon
35,Wenyen Gabriel,C,6-9,205,"March 26, 1997",sd,3,Kentucky
17,Dennis Schröder,PG,6-3,172,"September 15, 1993",de,9,
15,Austin Reaves,SG,6-5,206,"May 29, 1998",us,1,"Wichita State, Oklahoma"
3,Anthony Davis,C,6-10,253,"March 11, 1993",us,10,Kentucky
4,Lonnie Walker IV,SG,6-4,204,"December 14, 1998",us,4,Miami (FL)
6,LeBron James,PF,6-9,250,"December 30, 1984",us,19,
10,Max Christie,SG,6-6,190,"February 10, 2003",us,R,Michigan State
28,Rui Hachimura,PF,6-8,230,"February 8, 1998",jp,3,Gonzaga
5,Malik Beasley,SG,6-4,187,"November 26, 1996",us,6,Florida State
2,Jarred Vanderbilt,PF,6-9,214,"April 3, 1999",us,4,Kentucky
1,D'Angelo Russell,PG,6-4,193,"February 23, 1996",us,7,Ohio State
12,Mo Bamba,C,7-0,231,"May 12, 1998",us,4,Texas
20,Cole Swider  (TW),SF,6-9,220,"May 8, 1999",us,R,"Villanova, Syracuse"
14,Scotty Pippen Jr.  (TW),PG,6-3,185,"November 10, 2000",us,R,Vanderbilt
9,Tristan Thompson,C,6-9,254,"March 13, 1991",ca,11,Texas
0,Shaquille Harrison,SG,6-4,190,"October 6, 1993",us,5,Tulsa
21,Tyus Jones,PG,6-0,196,"May 10, 1996",us,7,Duke
7,Santi Aldama,PF,6-11,224,"January 10, 2001",es,1,Loyola (MD)
24,Dillon Brooks,SF,6-7,225,"January 22, 1996",ca,5,Oregon
46,John Konchar,SF,6-5,210,"March 22, 1996",us,3,Purdue-Fort Wayne
27,David Roddy,PF,6-6,255,"March 27, 2001",us,R,Colorado State
13,Jaren Jackson Jr.,C,6-11,242,"September 15, 1999",us,4,Michigan State
12,Ja Morant,PG,6-3,174,"August 10, 1999",us,3,Murray State
2,Xavier Tillman Sr.,C,6-8,245,"January 12, 1999",us,2,Michigan State
22,Desmond Bane,SG,6-5,215,"June 25, 1998",us,2,TCU
15,Brandon Clarke,PF,6-8,215,"September 19, 1996",ca,3,"San Jose State, Gonzaga"
4,Steven Adams,C,6-11,265,"July 20, 1993",nz,9,Pitt
8,Ziaire Williams,SF,6-8,215,"September 12, 2001",us,1,Stanford
3,Jake LaRavia,PF,6-8,235,"November 3, 2001",us,R,"Indiana State University, Wake Forest"
10,Luke Kennard,SG,6-5,206,"June 24, 1996",us,5,Duke
6,Kenneth Lofton Jr.,PF,6-7,275,"August 14, 2002",us,R,Louisiana Tech
5,Vince Williams Jr.  (TW),SG,6-6,205,"August 30, 2000",us,R,VCU
0,Jacob Gilyard  (TW),PG,5-9,160,"July 14, 1998",us,R,Richmond
31,Max Strus,SF,6-5,215,"March 28, 1996",us,3,"Lewis (IL), DePaul"
13,Bam Adebayo,C,6-9,255,"July 18, 1997",us,5,Kentucky
16,Caleb Martin,SF,6-5,205,"September 28, 1995",us,3,"NC State, Nevada"
2,Gabe Vincent,PG,6-3,200,"June 14, 1996",us,3,UC Santa Barbara
14,Tyler Herro,SG,6-5,195,"January 20, 2000",us,3,Kentucky
22,Jimmy Butler,PF,6-7,230,"September 14, 1989",us,11,Marquette
7,Kyle Lowry,PG,6-0,196,"March 25, 1986",us,16,Villanova
24,Haywood Highsmith,PF,6-7,220,"December 9, 1996",us,2,Wheeling University
4,Victor Oladipo,SG,6-4,213,"May 4, 1992",us,9,Indiana
55,Duncan Robinson,SF,6-7,215,"April 22, 1994",us,4,"Williams, Michigan"
25,Orlando Robinson  (TW),C,7-0,235,"July 10, 2000",us,R,Fresno State
42,Kevin Love,PF,6-8,251,"September 7, 1988",us,14,UCLA
8,Jamal Cain  (TW),PF,6-7,191,"March 20, 1999",us,R,"Marquette, Oakland"
44,Cody Zeller,C,6-11,240,"October 5, 1992",us,9,Indiana
5,Nikola Jović,PF,6-10,209,"June 9, 2003",gb,R,
77,Omer Yurtseven,C,7-0,264,"June 19, 1998",tr,1,"NC State, Georgetown"
40,Udonis Haslem,C,6-8,235,"June 9, 1980",us,19,Florida
5,Jevon Carter,PG,6-1,200,"September 14, 1995",us,4,West Virginia
11,Brook Lopez,C,7-0,282,"April 1, 1988",us,14,Stanford
12,Grayson Allen,SG,6-4,198,"October 8, 1995",us,4,Duke
9,Bobby Portis,PF,6-10,250,"February 10, 1995",us,7,Arkansas
21,Jrue Holiday,PG,6-3,205,"June 12, 1990",us,13,UCLA
34,Giannis Antetokounmpo,PF,7-0,242,"December 6, 1994",gr,9,
24,Pat Connaughton,SF,6-5,209,"January 6, 1993",us,7,Notre Dame
0,MarJon Beauchamp,SF,6-6,199,"October 12, 2000",us,R,Yakima Valley Community College
23,Wesley Matthews,SF,6-4,220,"October 14, 1986",us,13,Marquette
7,Joe Ingles,SF,6-8,220,"October 2, 1987",au,8,
43,Thanasis Antetokounmpo,PF,6-6,219,"July 18, 1992",gr,4,
20,A.J. Green  (TW),SG,6-4,200,"September 27, 1999",us,R,University of Northern Iowa
22,Khris Middleton,SF,6-7,222,"August 12, 1991",us,10,Texas A&M
99,Jae Crowder,PF,6-6,235,"July 6, 1990",us,10,Marquette
3,Meyers Leonard,C,7-0,260,"February 27, 1992",us,9,Illinois
28,Lindell Wigginton  (TW),PG,6-2,189,"March 28, 1998",ca,1,Iowa State
31,Goran Dragić,PG,6-3,190,"May 6, 1986",si,14,
1,Anthony Edwards,SG,6-4,225,"August 5, 2001",us,2,Georgia
3,Jaden McDaniels,SF,6-9,185,"September 29, 2000",us,2,Washington
27,Rudy Gobert,C,7-1,258,"June 26, 1992",fr,9,
5,Kyle Anderson,PF,6-9,230,"September 20, 1993",us,8,UCLA
11,Naz Reid,C,6-9,264,"August 26, 1999",us,3,LSU
4,Jaylen Nowell,SG,6-4,201,"July 9, 1999",us,3,Washington
12,Taurean Prince,PF,6-7,218,"March 22, 1994",us,6,Baylor
25,Austin Rivers,SG,6-4,200,"August 1, 1992",us,10,Duke
6,Jordan McLaughlin,PG,5-11,185,"April 9, 1996",us,3,USC
13,Nathan Knight,C,6-10,253,"September 20, 1997",us,2,William & Mary
32,Karl-Anthony Towns,PF,6-11,248,"November 15, 1995",us,7,Kentucky
7,Wendell Moore Jr.,SG,6-5,213,"September 18, 2001",us,R,Duke
55,Luka Garza  (TW),C,6-11,235,"December 27, 1998",us,1,Iowa
10,Mike Conley,PG,6-1,175,"October 11, 1987",us,15,Ohio State
9,Nickeil Alexander-Walker,SG,6-6,205,"September 2, 1998",ca,3,Virginia Tech
37,Matt Ryan  (TW),SF,6-7,215,"April 17, 1997",us,1,"Notre Dame, Vanderbilt, Chattanooga"
8,Josh Minott,SF,6-8,205,"November 25, 2002",us,R,Memphis
25,Trey Murphy III,SF,6-9,206,"June 18, 2000",us,1,"Rice University, Virginia"
17,Jonas Valančiūnas,C,6-11,265,"May 6, 1992",lt,10,
8,Naji Marshall,SF,6-7,220,"January 24, 1998",us,2,Xavier
3,CJ McCollum,SG,6-3,190,"September 19, 1991",us,9,Lehigh
5,Herbert Jones,PF,6-8,210,"October 6, 1998",us,1,Alabama
22,Larry Nance Jr.,C,6-7,245,"January 1, 1993",us,7,Wyoming
15,Jose Alvarado,PG,6-0,179,"April 12, 1998",us,1,Georgia Tech
11,Dyson Daniels,PG,6-8,199,"March 17, 2003",au,R,
10,Jaxson Hayes,C,6-11,220,"May 23, 2000",us,3,Texas
14,Brandon Ingram,SF,6-8,190,"September 2, 1997",us,6,Duke
9,Willy Hernangómez,C,6-11,250,"May 27, 1994",es,6,
1,Zion Williamson,PF,6-6,284,"July 6, 2000",us,2,Duke
13,Kira Lewis Jr.,PG,6-1,170,"April 6, 2001",us,2,Alabama
41,Garrett Temple,SG,6-5,195,"May 8, 1986",us,12,LSU
2,Josh Richardson,SG,6-5,200,"September 15, 1993",us,7,Tennessee
0,Dereon Seabron  (TW),SG,6-7,180,"May 26, 2000",us,R,NC State
NA,E.J. Liddell  (TW),PF,6-7,240,"December 18, 2000",us,R,Ohio State
55,Isaiah Hartenstein,C,7-0,250,"May 5, 1998",us,4,
5,Immanuel Quickley,SG,6-3,190,"June 17, 1999",us,2,Kentucky
30,Julius Randle,PF,6-8,250,"November 29, 1994",us,8,Kentucky
9,RJ Barrett,SG,6-6,214,"June 14, 2000",ca,3,Duke
6,Quentin Grimes,SG,6-5,205,"May 8, 2000",us,1,"Kansas, Houston"
11,Jalen Brunson,PG,6-1,190,"August 31, 1996",us,4,Villanova
1,Obi Toppin,PF,6-9,220,"March 4, 1998",us,2,Dayton
2,Miles McBride,PG,6-2,200,"September 8, 2000",us,1,West Virginia
23,Mitchell Robinson,C,7-0,240,"April 1, 1998",us,4,Western Kentucky
45,Jericho Sims,C,6-10,245,"October 20, 1998",us,1,Texas
13,Evan Fournier,SG,6-7,205,"October 29, 1992",fr,10,
4,Derrick Rose,PG,6-3,200,"October 4, 1988",us,13,Memphis
3,Josh Hart,SF,6-5,215,"March 6, 1995",us,5,Villanova
"0, 3",Trevor Keels  (TW),SG,6-5,221,"August 26, 2003",us,R,Duke
,Duane Washington Jr.  (TW),SG,6-3,210,"March 24, 2000",de,1,Ohio State
8,DaQuan Jeffries,SG,6-5,230,"August 30, 1997",us,3,"Oral Roberts, Tulsa"
,Isaiah Roby,PF,6-8,230,"February 3, 1998",us,3,Nebraska
3,Josh Giddey,PF,6-8,210,"October 10, 2002",au,1,
8,Jalen Williams,SG,6-6,195,"April 14, 2001",us,R,Santa Clara
5,Luguentz Dort,SF,6-3,215,"April 19, 1999",ca,3,Arizona State
11,Isaiah Joe,SG,6-4,165,"July 2, 1999",us,2,Arkansas
21,Aaron Wiggins,SG,6-6,200,"January 2, 1999",us,1,Maryland
2,Shai Gilgeous-Alexander,PG,6-6,180,"July 12, 1998",ca,4,Kentucky
23,Tre Mann,PG,6-3,178,"February 3, 2001",us,1,Florida
34,Kenrich Williams,PF,6-6,210,"December 2, 1994",us,4,TCU
6,Jaylin Williams,C,6-10,240,"June 29, 2002",us,R,Arkansas
50,Jeremiah Robinson-Earl,PF,6-9,230,"November 3, 2000",us,1,Villanova
12,Lindy Waters III,SG,6-6,215,"July 28, 1997",us,1,Oklahoma State
13,Ousmane Dieng,PF,6-10,216,"May 21, 2003",fr,R,
17,Aleksej Pokusevski,PF,7-0,190,"December 26, 2001",rs,2,
9,Dario Šarić,C,6-10,225,"April 8, 1994",hr,5,
30,Olivier Sarr  (TW),C,7-0,237,"February 20, 1999",fr,1,"Wake Forest, Kentucky"
14,Jared Butler  (TW),PG,6-3,195,"August 25, 2000",us,1,Baylor
NA,Chet Holmgren,PF,7-0,195,"May 1, 2002",us,R,Gonzaga
22,Franz Wagner,SF,6-9,225,"August 27, 2001",de,1,Michigan
5,Paolo Banchero,PF,6-10,250,"November 12, 2002",us,R,Duke
